publication_date,report_date,country,province,health_zone,confirmed_cases,probable_cases,total_cases,confirmed_deaths,total_deaths,total_suspected_cases,new_deaths,new_cured,total_cured,new_suspected_cases,old_suspected_cases,confirmed_cases_change,probable_cases_change,total_cases_change,confirmed_deaths_change,total_deaths_change,total_suspected_cases_change,source
#date +event,#date +report,#adm0 +code,#adm1 +health+name,#adm2 +health+name,#affected +infected+confirmed,#affected +infected+probable,#affected +infected+total,#affected +killed+confirmed,#affected +killed+total,#affected +suspect+total,#affected +killed+new,#affected,#affected,#affected +infected+suspected+new,#affected +infected+suspected+old,#affected +infected+confirmed,#affected +infected+probable,#affected +infected+total,#affected +killed+confirmed,#affected +killed+total,#affected +suspect+total,#meta +source
2019-03-20,2019-03-19,COD,North Kivu,Alimbongo,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Beni,226,9,235,119,128,88,,,,,,0,0,0,0,0,-6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Biena,6,0,6,5,5,6,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Butembo,92,0,92,61,61,9,,,,,,1,0,1,2,2,-9,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Goma,0,0,0,0,0,8,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Kalunguta,48,13,61,22,35,7,,,,,,0,0,0,0,0,7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Katwa,271,11,282,189,200,21,,,,,,2,0,2,1,1,-4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Kayina,8,0,8,3,3,7,,,,,,1,0,1,0,0,5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Kyondo,15,2,17,12,14,3,,,,,,-2,0,-2,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Lubero,2,0,2,1,1,2,,,,,,0,0,0,0,0,-4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Mabalako,90,16,106,54,70,0,,,,,,-1,0,-1,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Mangurujipa,5,0,5,4,4,3,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Masereka,26,1,27,7,8,6,,,,,,6,0,6,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Musienene,6,1,7,2,3,19,,,,,,0,0,0,0,0,-3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Mutwanga,4,0,4,3,3,25,,,,,,0,0,0,0,0,12,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Oicha,32,0,32,19,19,10,,,,,,1,0,1,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,North Kivu,Vuhovi,19,0,19,11,11,6,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,Ituri,Bunia,1,0,1,1,1,0,,,,,,1,0,1,1,1,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,Ituri,Komanda,27,9,36,9,18,6,,,,,,0,0,0,0,0,-5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,Ituri,Mandima,33,3,36,19,22,0,,,,,,3,0,3,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,Ituri,Nyankunde,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,Ituri,Rwampara,1,0,1,1,1,10,,,,,,1,0,1,1,1,10,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-20,2019-03-19,COD,Ituri,Tchomia,2,0,2,2,2,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_20mar19
2019-03-19,2019-03-18,COD,North Kivu,Alimbongo,0,0,0,0,0,0,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Beni,226,9,235,119,128,94,,,,,,0,0,0,0,0,40,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Biena,6,0,6,5,5,6,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
